date,time,symbol,strike,expiry,open,high,low,close,volume,oi,coi
250701,34260,QQQ250707C00553000,553,250707,270,270,262,262,10,2,-5
250701,34260,QQQ250707C00554000,554,250707,225,227,218,218,13,3,2
250701,34260,QQQ250707C00555000,555,250707,193,193,193,193,1,1,-1
250701,34260,QQQ250707C00556000,556,250707,159,159,159,159,1,1,0
250701,34260,QQQ250707C00557000,557,250707,130,130,130,130,1,1,-3
250701,34260,QQQ250707C00560000,560,250707,70,70,63,64,20,8,1
250701,34260,QQQ250707C00565000,565,250707,20,20,20,20,19,4,2
250701,34260,QQQ250708C00545000,545,250708,780,780,780,780,2,1,0
250701,34260,QQQ250708C00550000,550,250708,468,474,466,466,4,4,2
250701,34260,QQQ250708C00551000,551,250708,423,423,423,423,1,1,0
250701,34260,QQQ250708C00552000,552,250708,374,374,374,374,5,4,2
250701,34260,QQQ250708C00555000,555,250708,240,240,240,240,1,1,0
250701,34260,QQQ250708C00556000,556,250708,206,206,206,206,9,3,0
250701,34260,QQQ250709C00543000,543,250709,980,980,980,980,3,1,0
250701,34260,QQQ250709C00548000,548,250709,640,640,640,640,2,1,0
250701,34260,QQQ250709C00549000,549,250709,584,584,584,584,1,1,-1
250701,34260,QQQ250709C00550000,550,250709,531,539,522,522,35,4,3
250701,34260,QQQ250709C00557000,557,250709,216,216,216,216,2,1,0
250701,34260,QQQ250710C00549000,549,250710,652,652,652,652,1,1,0
250701,34260,QQQ250710C00550000,550,250710,588,588,571,571,26,3,0
250701,34260,QQQ250710C00558000,558,250710,234,234,234,234,2,1,0
250701,34260,QQQ250710C00560000,560,250710,179,179,178,178,8,2,0
250701,34260,QQQ250711C00521000,521,250711,2983,2983,2983,2983,6,1,0
250701,34260,QQQ250711C00539000,539,250711,1393,1393,1393,1393,2,2,0
250701,34260,QQQ250711C00540000,540,250711,1336,1336,1336,1336,5,1,-8
250701,34260,QQQ250711C00549000,549,250711,687,687,687,687,30,3,2
250701,34260,QQQ250711C00550000,550,250711,638,640,638,640,2,2,-6
250701,34260,QQQ250711C00551000,551,250711,571,571,571,571,3,3,0
250701,34260,QQQ250711C00552000,552,250711,534,534,534,534,1,1,-6
250701,34260,QQQ250711C00552500,552,250711,509,509,509,509,4,2,1
250701,34260,QQQ250711C00555000,555,250711,390,390,385,385,22,4,0
250701,34260,QQQ250711C00560000,560,250711,218,218,218,218,5,1,-7
250701,34260,QQQ250711C00565000,565,250711,105,105,105,105,4,1,-3
250701,34260,QQQ250711C00575000,575,250711,24,25,24,25,10,3,2
250701,34260,QQQ250711C00580000,580,250711,13,13,13,13,15,2,1
250701,34260,QQQ250714C00550000,550,250714,686,686,686,686,1,1,0
250701,34260,QQQ250714C00555000,555,250714,434,434,434,434,1,1,0
250701,34260,QQQ250718C00535000,535,250718,1952,1952,1952,1952,5,1,0
250701,34260,QQQ250718C00540000,540,250718,1557,1557,1557,1557,5,1,-8
